700 (cycle, state) pages to scrape across 14 cycles
  2022 NY: 79 result rows, 24 party-races
  2022 NC: 94 result rows, 22 party-races
  2022 ND (at-large): 2 result rows, 1 party-races
  2022 OH: 65 result rows, 30 party-races
  2022 OK: 24 result rows, 4 party-races
  2022 OR: 46 result rows, 12 party-races
  2022 PA: 31 result rows, 13 party-races
  2022 RI: 9 result rows, 4 party-races
  2022 SC: 21 result rows, 6 party-races
  2022 SD (at-large): 2 result rows, 1 party-races
  2022 TN: 37 result rows, 18 party-races
  2022 TX: 250 result rows, 70 party-races
  2022 UT: 9 result rows, 4 party-races
  2022 VT (at-large): 7 result rows, 2 party-races
  2022 VA: 21 result rows, 6 party-races
  2022 WV: 13 result rows, 4 party-races
  2022 WI: 22 result rows, 14 party-races
  2022 WY (at-large): 8 result rows, 2 party-races
  ... 650/700 pages checked, 10856 rows so far, 393 pages had primary data
  2024 AL: 36 result rows, 8 party-races
  2024 AZ: 38 result rows, 18 party-races
  2024 AR: 2 result rows, 1 party-races
  2024 CO: 31 result rows, 16 party-races
  2024 CT: 2 result rows, 1 party-races
  2024 DE (at-large): 5 result rows, 2 party-races
  2024 FL: 76 result rows, 30 party-races
  2024 GA: 60 result rows, 28 party-races
  2024 HI: 5 result rows, 4 party-races
  2024 ID: 6 result rows, 4 party-races
  2024 IL: 46 result rows, 30 party-races
  2024 IN: 63 result rows, 18 party-races
  2024 IA: 11 result rows, 8 party-races
  2024 KS: 15 result rows, 8 party-races
  2024 KY: 19 result rows, 6 party-races
  2024 ME: 6 result rows, 4 party-races
  2024 MD: 87 result rows, 16 party-races
  2024 MA: 13 result rows, 11 party-races
  2024 MI: 43 result rows, 26 party-races
  2024 MN: 14 result rows, 7 party-races
  2024 MS: 10 result rows, 3 party-races
  2024 MO: 43 result rows, 16 party-races
  2024 MT: 16 result rows, 4 party-races
  2024 NE: 11 result rows, 6 party-races
  2024 NV: 21 result rows, 6 party-races
  2024 NH: 24 result rows, 4 party-races
  2024 NJ: 87 result rows, 24 party-races
  2024 NM: 7 result rows, 6 party-races
  2024 NY: 13 result rows, 6 party-races
  2024 NC: 53 result rows, 13 party-races
  2024 ND (at-large): 6 result rows, 1 party-races
  2024 OH: 61 result rows, 30 party-races
  2024 OK: 14 result rows, 5 party-races
  2024 OR: 30 result rows, 12 party-races
  2024 PA: 44 result rows, 33 party-races
  2024 RI: 4 result rows, 4 party-races
  2024 SC: 26 result rows, 9 party-races
  2024 TN: 31 result rows, 18 party-races
  2024 TX: 175 result rows, 68 party-races
  2024 UT: 9 result rows, 3 party-races
  2024 VT (at-large): 2 result rows, 2 party-races
  2024 VA: 40 result rows, 9 party-races
  2024 WV: 10 result rows, 4 party-races
