year,state,office,district,candidate,party_std,pct,end_date,sample_size,pollster,poll_id,election_date,cand_key,display_party,race_id,days_to_elec
2026,TX,Senate,,James Talarico,DEM,44.0,2026-03-17,900.0,Impact Research,9495e1a8-06aa-4f93-a43e-8fb527866254,2026-11-03,talarico j,DEM,2026_TX_Senate,231
2026,SC,Senate,,Lindsey Graham,REP,47.0,2026-03-01,700.0,Impact Research,0fa96ba9-faec-4c39-8015-80b9565e6f66,2026-11-03,graham l,REP,2026_SC_Senate,247
2026,SC,Senate,,Annie Andrews,DEM,42.0,2026-03-01,700.0,Impact Research,0fa96ba9-faec-4c39-8015-80b9565e6f66,2026-11-03,andrews a,DEM,2026_SC_Senate,247
2026,NC,Senate,,Michael Whatley,REP,44.0,2026-03-14,556.0,Public Policy Polling,853ccd90-0763-41b2-b469-bcc02ef6752e,2026-11-03,whatley m,REP,2026_NC_Senate,234
2026,NC,Senate,,Roy A. Cooper,DEM,47.0,2026-03-14,556.0,Public Policy Polling,853ccd90-0763-41b2-b469-bcc02ef6752e,2026-11-03,cooper r,DEM,2026_NC_Senate,234
2026,OH,Senate,S,Jon Husted,REP,45.5,2026-03-14,784.0,Quantus Insights,fbfa3cb4-0981-4abe-8c3b-68a6e3863684,2026-11-03,husted j,REP,2026_OH_Senate-S,234
2026,OH,Senate,S,Sherrod Brown,DEM,44.4,2026-03-14,784.0,Quantus Insights,fbfa3cb4-0981-4abe-8c3b-68a6e3863684,2026-11-03,brown s,DEM,2026_OH_Senate-S,234
2026,OH,Senate,S,Jon Husted,REP,47.0,2026-02-22,1343.0,EMC Research,750c2f24-a09b-4b31-bbc0-91918a94afd2,2026-11-03,husted j,REP,2026_OH_Senate-S,254
2026,OH,Senate,S,Sherrod Brown,DEM,51.0,2026-02-22,1343.0,EMC Research,750c2f24-a09b-4b31-bbc0-91918a94afd2,2026-11-03,brown s,DEM,2026_OH_Senate-S,254
2026,OH,Senate,S,Jon Husted,REP,45.0,2026-03-08,600.0,OnMessage Inc.,995da4b4-5913-4aa3-bada-3c00887b1851,2026-11-03,husted j,REP,2026_OH_Senate-S,240
2026,OH,Senate,S,Sherrod Brown,DEM,47.0,2026-03-08,600.0,OnMessage Inc.,995da4b4-5913-4aa3-bada-3c00887b1851,2026-11-03,brown s,DEM,2026_OH_Senate-S,240
2026,ME,Senate,,Graham Platner,DEM,44.0,2026-03-08,600.0,OnMessage Inc.,75c19443-5507-4ead-b1ea-2dc8c5adf836,2026-11-03,platner g,DEM,2026_ME_Senate,240
2026,ME,Senate,,Susan M. Collins,REP,42.0,2026-03-08,600.0,OnMessage Inc.,75c19443-5507-4ead-b1ea-2dc8c5adf836,2026-11-03,collins s,REP,2026_ME_Senate,240
2026,ME,Senate,,Janet T. Mills,DEM,42.0,2026-03-08,600.0,OnMessage Inc.,75c19443-5507-4ead-b1ea-2dc8c5adf836,2026-11-03,mills j,DEM,2026_ME_Senate,240
2026,ME,Senate,,Susan M. Collins,REP,41.8,2026-03-05,800.0,Quantus Insights,3f93eb53-de86-4b13-a99b-bc6f52b4d504,2026-11-03,collins s,REP,2026_ME_Senate,243
2026,ME,Senate,,Graham Platner,DEM,48.6,2026-03-05,800.0,Quantus Insights,3f93eb53-de86-4b13-a99b-bc6f52b4d504,2026-11-03,platner g,DEM,2026_ME_Senate,243
2026,ME,Senate,,Janet T. Mills,DEM,43.0,2026-03-05,800.0,Quantus Insights,3f93eb53-de86-4b13-a99b-bc6f52b4d504,2026-11-03,mills j,DEM,2026_ME_Senate,243
2026,TX,Senate,,Ken Paxton,REP,45.0,2026-03-05,576.0,Public Policy Polling,06254561-fc56-4369-84ba-5bd863ff145c,2026-11-03,paxton k,REP,2026_TX_Senate,243
2026,TX,Senate,,James Talarico,DEM,47.0,2026-03-05,576.0,Public Policy Polling,06254561-fc56-4369-84ba-5bd863ff145c,2026-11-03,talarico j,DEM,2026_TX_Senate,243
2026,AR,Senate,,Hallie Shoffner,DEM,36.0,2026-02-09,550.0,GrayHouse,54e089ff-5f60-4aca-b00c-d93838450703,2026-11-03,shoffner h,DEM,2026_AR_Senate,267
2026,AR,Senate,,Tom Cotton,REP,58.0,2026-02-09,550.0,GrayHouse,54e089ff-5f60-4aca-b00c-d93838450703,2026-11-03,cotton t,REP,2026_AR_Senate,267
2026,GA,Senate,,Jon Ossoff,DEM,47.1,2026-03-02,1000.0,Emerson College,7720f3fa-d9be-461e-a9ab-0ddb661a7672,2026-11-03,ossoff j,DEM,2026_GA_Senate,246
