year,office,state,district,party,candidate,cand_key,is_winner,status,office_level,source
2010,House,KY,6,DEM,Albert Ben Chandler,chandler a,True,pending,,
2010,House,MA,10,DEM,Bill Keating,keating b,True,pending,,
2010,House,MA,4,DEM,Barney Frank,frank b,True,pending,,
2010,House,MA,6,DEM,John F. Tierney,tierney j,True,pending,,
2010,Senate,MA,S,DEM,Martha Coakley,coakley m,False,pending,,
2010,Senate,MA,S,REP,Scott Brown,brown s,True,pending,,
2010,Governor,MD,,REP,Robert Ehrlich Jr.,ehrlich r,False,pending,,
2010,House,ME,1,REP,C. Peter Scontras,scontras c,False,pending,,
2010,House,MI,9,REP,Andrew Rocky Raczkowski,raczkowski a,False,pending,,
2010,House,MS,2,REP,William Marcy,marcy w,False,pending,,
2010,House,NC,11,DEM,Joseph Heath Shuler,shuler j,True,pending,,
2010,House,NE,2,REP,Lee Terry,terry l,True,pending,,
2010,House,NH,1,DEM,Carol Shea-Porter,porter c,False,pending,,
2010,House,NJ,1,REP,Dale Mark Glading,glading d,False,pending,,
2010,House,NJ,2,DEM,Gary S. Stein,stein g,False,pending,,
2010,House,NJ,2,REP,Frank A. LoBiondo,lobiondo f,True,pending,,
2010,House,NJ,6,REP,Anna C. Little,little a,False,pending,,
2010,Senate,NY,S,DEM,Kirsten E. Gillibrand,gillibrand k,True,pending,,
2010,Senate,NY,S,REP,Joseph J. DioGuardi,dioguardi j,False,pending,,
2010,House,OR,5,REP,L. Scott Bruun,bruun l,False,pending,,
2010,House,PA,13,REP,Carson Dee Adcock,adcock c,False,pending,,
2010,House,RI,2,DEM,Jim Langevin,langevin j,True,pending,,
2010,House,SC,2,DEM,Rob Miller,miller r,False,pending,,
2010,House,SC,2,REP,Joe Wilson,wilson j,True,pending,,
2010,House,SC,5,DEM,John M. Spratt,spratt j,False,pending,,
2010,House,SC,5,REP,Mick Mulvaney,mulvaney m,True,pending,,
2010,Governor,TN,,REP,William Edward Haslam,haslam w,True,pending,,
2010,House,TN,3,DEM,John Wolfe,wolfe j,False,pending,,
2010,House,TN,3,REP,Chuck Fleischmann,fleischmann c,True,pending,,
2010,House,TN,4,DEM,Lincoln Davis,davis l,False,pending,,
2010,House,TN,4,REP,Scott DesJarlais,desjarlais s,True,pending,,
2010,House,TN,8,DEM,Roy Brasfield Herron,herron r,False,pending,,
2010,House,TN,8,REP,Stephen Lee Fincher,fincher s,True,pending,,
2010,House,TX,17,DEM,Thomas Edwards,edwards t,False,pending,,
2010,House,TX,23,REP,Francisco R. Canseco,canseco f,True,pending,,
2010,Governor,UT,S,DEM,Peter Corroon,corroon p,False,pending,,
2010,Governor,UT,S,REP,Gary Richard Herbert,herbert g,True,pending,,
2010,House,VA,5,DEM,Tom S. Perriello,perriello t,False,pending,,
2010,House,VA,5,REP,Robert Hurt,hurt r,True,pending,,
2010,House,VA,9,DEM,Frederick C. Boucher,boucher f,False,pending,,
2010,House,VA,9,REP,H. Morgan Griffith,griffith h,True,pending,,
2010,House,WA,9,REP,Richard Muri,muri r,False,pending,,
2010,House,WV,3,REP,Elliott E. Maynard,maynard e,False,pending,,
2010,Senate,WV,S,DEM,"Joe Manchin, III",manchin j,True,pending,,
2010,Senate,WV,S,REP,John Raese,raese j,False,pending,,
2012,House,AR,1,DEM,Scott Ellington,ellington s,False,pending,,
2012,House,AR,3,OTH,Rebekah J. Kennedy,kennedy r,False,pending,,
2012,House,AR,4,DEM,Harmon Jeffress,jeffress h,False,pending,,
